iter	Passed	Remaining
407	5271	20570
408	5281	20546
409	5291	20521
410	5303	20505
411	5307	20457
412	5314	20422
413	5328	20412
414	5343	20407
415	5358	20404
416	5365	20369
417	5381	20367
418	5396	20361
419	5411	20356
420	5426	20351
421	5439	20339
422	5448	20312
423	5456	20283
424	5458	20227
425	5470	20213
426	5483	20199
427	5494	20180
428	5505	20162
429	5515	20137
430	5530	20132
431	5539	20106
432	5551	20089
433	5564	20076
434	5578	20070
435	5591	20057
436	5606	20053
437	5618	20037
438	5627	20011
439	5640	19998
440	5653	19986
441	5669	19985
442	5682	19973
443	5694	19954
444	5703	19930
445	5711	19900
446	5723	19885
447	5734	19867
448	5736	19814
449	5751	19810
450	5766	19805
451	5783	19806
452	5794	19788
453	5803	19763
454	5816	19750
455	5830	19740
456	5842	19725
457	5858	19722
458	5869	19707
459	5885	19702
460	5899	19693
461	5913	19685
462	5966	19806
463	5980	19798
464	5995	19792
465	6008	19780
466	6019	19760
467	6030	19739
468	6041	19721
469	6048	19688
470	6062	19680
471	6075	19666
472	6086	19648
473	6093	19617
474	6103	19596
475	6119	19594
476	6133	19584
477	6148	19576
478	6157	19552
479	6168	19534
480	6182	19524
481	6192	19502
482	6203	19483
483	6218	19478
484	6227	19453
485	6239	19436
486	6252	19424
487	6263	19406
488	6278	19400
489	6289	19381
490	6301	19366
491	6312	19349
492	6328	19343
493	6336	19318
494	6344	19290
495	6359	19282
496	6370	19266
497	6380	19243
498	6389	19220
499	6396	19190
500	6412	19185
501	6421	19162
502	6436	19156
503	6449	19144
504	6461	19128
505	6466	19092
506	6478	19077
507	6490	19061
508	6504	19052
509	6517	19040
510	6526	19016
511	6537	18999
512	6552	18993
513	6553	18947
514	6558	18910
515	6570	18897
516	6588	18899
517	6602	18889
518	6615	18877
519	6625	18856
520	6636	18839
521	6650	18828
522	6663	18817
523	6664	18772
524	6665	18725
525	6677	18712
526	6687	18690
527	6700	18681
528	6716	18676
529	6730	18668
530	6743	18655
531	6757	18645
532	6765	18621
533	6779	18610
534	6790	18593
535	6802	18581
536	6815	18569
537	6831	18564
538	6844	18553
539	6853	18530
540	6869	18525
541	6879	18506
542	6893	18495
543	6908	18490
